=====================================
|       >>>>>  EMM SGSN <<<<<       |
=====================================
|    DATE|   INPUT|  OUTPUT| MISSING|
|20220201|   16150|   16150|       0|
|20220202|   16017|   16017|       0|
|20220203|   15877|   15877|       0|
|20220204|   16010|   16010|       0|
|20220205|   16149|   16149|       0|
|20220206|   16188|   16188|       0|
|20220207|   16113|   16113|       0|
|20220208|   16120|   16120|       0|
|20220209|   15902|   15902|       0|
|20220210|   15962|   15962|       0|
|20220211|   15841|   15841|       0|
|20220212|    1456|    1453|       3|
|20220213|       0|       0|       0|
|20220214|       0|       0|       0|
|20220215|       0|       0|       0|
|20220216|       0|       0|       0|
|20220217|       0|       0|       0|
|20220218|       0|       0|       0|
|20220219|       0|       0|       0|
|20220220|       0|       0|       0|
|20220221|       0|       0|       0|
|20220222|       0|       0|       0|
|20220223|       0|       0|       0|
|20220224|       0|       0|       0|
|20220225|       0|       0|       0|
|20220226|       0|       0|       0|
|20220227|       0|       0|       0|
|20220228|       0|       0|       0|
=====================================
|       >>>>>   CG SGW  <<<<<       |
=====================================
|    DATE|   INPUT|  OUTPUT| MISSING|
|20220201|     763|     763|       0|
|20220202|     769|     769|       0|
|20220203|     747|     747|       0|
|20220204|     761|     761|       0|
|20220205|     757|     757|       0|
|20220206|     749|     749|       0|
|20220207|     755|     755|       0|
|20220208|     757|     757|       0|
|20220209|     744|     744|       0|
|20220210|     754|     754|       0|
|20220211|     758|     757|       1|
|20220212|     130|     130|       0|
|20220213|       0|       0|       0|
|20220214|       0|       0|       0|
|20220215|       0|       0|       0|
|20220216|       0|       0|       0|
|20220217|       0|       0|       0|
|20220218|       0|       0|       0|
|20220219|       0|       0|       0|
|20220220|       0|       0|       0|
|20220221|       0|       0|       0|
|20220222|       0|       0|       0|
|20220223|       0|       0|       0|
|20220224|       0|       0|       0|
|20220225|       0|       0|       0|
|20220226|       0|       0|       0|
|20220227|       0|       0|       0|
|20220228|       0|       0|       0|
=====================================
|       >>>>> CG Huawei <<<<<       |
=====================================
|    DATE|   INPUT|  OUTPUT| MISSING|
|20220201|  241097|  241097|       0|
|20220202|  243289|  243289|       0|
|20220203|  242731|  242731|       0|
|20220204|  244046|  244046|       0|
|20220205|  247951|  247951|       0|
|20220206|  248835|  248835|       0|
|20220207|  247063|  247063|       0|
|20220208|  242899|  242899|       0|
|20220209|  244975|  244975|       0|
|20220210|  244707|  244707|       0|
|20220211|  243597|  243634|     -37|
|20220212|   27300|   25916|    1384|
|20220213|       0|       0|       0|
|20220214|       0|       0|       0|
|20220215|       0|       0|       0|
|20220216|       0|       0|       0|
|20220217|       0|       0|       0|
|20220218|       0|       0|       0|
|20220219|       0|       0|       0|
|20220220|       0|       0|       0|
|20220221|       0|       0|       0|
|20220222|       0|       0|       0|
|20220223|       0|       0|       0|
|20220224|       0|       0|       0|
|20220225|       0|       0|       0|
|20220226|       0|       0|       0|
|20220227|       0|       0|       0|
|20220228|       0|       0|       0|
